"source","description","date","curator","revision","Increased abundance in Group 1","NCBI","Experiment","Study","Page Name"
"Table 5 &6","Gut microbiota in children with type 1 diabetes differs from that in healthy children: a case-control study.","2019-09-05","Yaseen Javaid","Shaimaa Elsafoury","decreased","201174,1239,838,1532,1263079,1678,1578","Experiment 1","Study 116","Signature 2"
"Figure 2","Patterns in relative abundance of frequently occurring OTUs in elderly and adult controls and pneumonia patients","2019-09-05","Rimsha Azhar","","increased","32207,257758,1578","Experiment 1","Study 117","Signature 1"
"Figure 2","Patterns in relative abundance of frequently occurring OTUs in elderly and adult controls and pneumonia patients","2019-09-05","Rimsha Azhar","","decreased","28132,39778,196082,32067,o__gemellales","Experiment 1","Study 117","Signature 2"
"Figure 2","Patterns in relative abundance of frequently occurring OTUs in elderly and adult controls and pneumonia patients","2019-09-16","Rimsha Azhar","","increased","257758,32207,1578","Experiment 2","Study 117","Signature 1"
"Figure 2","Patterns in relative abundance of frequently occurring OTUs in elderly and adult controls and pneumonia patients","2019-09-16","Rimsha Azhar","","decreased","91061,28132,39778,32067,724,482","Experiment 2","Study 117","Signature 2"
"Figure 1C and Text","The Perturbation of Infant Gut Microbiota Caused by Cesarean Delivery Is Partially Restored by Exclusive Breastfeeding","2019-05-14","Yaseen Javaid","Rimsha Azhar","increased","k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales,909932,186801,909929,570,1843489,1603,186802,1239,1578,33958","Experiment 1","Study 118","Signature 1"
"Figure 1C and Text","The Perturbation of Infant Gut Microbiota Caused by Cesarean Delivery Is Partially Restored by Exclusive Breastfeeding","2019-05-14","Yaseen Javaid","Rimsha Azhar","decreased","201174,85004,31953,1678","Experiment 1","Study 118","Signature 2"
"Figure 3d and Text","Enriched taxa of different level from cesarean born breastfed infants and from cesarean born mixed-fed infants","2020-03-01","Rimsha Azhar","Rimsha Azhar","increased","29465,31977,909932,81852,1350","Experiment 2","Study 118","Signature 1"
"Figure 3d and Text","Enriched taxa of different level from cesarean born breastfed infants and from cesarean born mixed-fed infants","2020-03-01","Rimsha Azhar","Rimsha Azhar","decreased","1506577,838,216851,171552","Experiment 2","Study 118","Signature 2"
"Table 4","the interactive influence of metformin and opioids on gut microbiota in the subgroup with diabetes.","2019-05-14","Yaseen Javaid","Shaimaa Elsafoury","increased","1678","Experiment 1","Study 119","Signature 1"
"Table 4","the interactive influence of metformin and opioids on gut microbiota in the subgroup with diabetes.","2019-05-14","Yaseen Javaid","Shaimaa Elsafoury","decreased","47678","Experiment 1","Study 119","Signature 2"
"Table 4","the interactive influence of metformin and opioids on gut microbiota in the subgroup with diabetes.","2020-03-02","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","838","Experiment 2","Study 119","Signature 1"
"Table 4","the interactive influence of metformin and opioids on gut microbiota in the subgroup with diabetes.","2020-03-02","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","1678","Experiment 2","Study 119","Signature 2"
"Table 4","the interactive influence of metformin and opioids on gut microbiota in the subgroup with diabetes.","2020-03-02","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","1678","Experiment 3","Study 119","Signature 1"
"Table 4","the interactive influence of metformin and opioids on gut microbiota in the subgroup with diabetes.","2020-03-02","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","838","Experiment 3","Study 119","Signature 2"
"Table 3 and Text","Gut microbiota composition in male rat models under different nutritional status and physical activity and its association with serum leptin and ghrelin levels","2019-05-14","Yaseen Javaid","Shaimaa Elsafoury","increased","1224,838,28890,1485,1350,816","Experiment 1","Study 120","Signature 1"
"Table 3 and Text","Gut microbiota composition in male rat models under different nutritional status and physical activity and its association with serum leptin and ghrelin levels","2019-05-14","Yaseen Javaid","Shaimaa Elsafoury","decreased","1578,1678,201174,976,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_rectale,1239,816","Experiment 1","Study 120","Signature 2"
"Table 3 and Text","Gut microbiota composition in male rat models under different nutritional status and physical activity and its association with serum leptin and ghrelin levels","2019-05-14","Yaseen Javaid","Shaimaa Elsafoury","increased","816,838,1239,1350,1485","Experiment 2","Study 120","Signature 1"
"Table 3 and Text","Gut microbiota composition in male rat models under different nutritional status and physical activity and its association with serum leptin and ghrelin levels","2019-05-14","Yaseen Javaid","Shaimaa Elsafoury","decreased","1578,201174,1678,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_rectale","Experiment 2","Study 120","Signature 2"
"figure 3 and text","Subgingival Microbiome of Gingivitis in Chinese undergraduates","2019-05-22","Marianthi Thomatos","Shaimaa Elsafoury","increased","976,203691,836,157,195950,837,28131,28124,s__bacteroidales_genomes","Experiment 1","Study 121","Signature 1"
"figure 3 and text","Subgingival Microbiome of Gingivitis in Chinese undergraduates","2019-05-22","Marianthi Thomatos","Shaimaa Elsafoury","decreased","1016","Experiment 1","Study 121","Signature 2"
"Table S2 and Figure 1d","OTUs enriched in paired normal or tumor tissue","2019-05-30","Rimsha Azhar","","increased","31998,237,407","Experiment 1","Study 122","Signature 1"
"Table S2 and Figure 1d","OTUs enriched in paired normal or tumor tissue","2019-05-30","Rimsha Azhar","","decreased","13690,13687,914,48935,374,257758","Experiment 1","Study 122","Signature 2"
"Table 1","Mean relative abundances for gut genera and p-value for differences between high-fat and control animals are listed. Class and phylum are indicated as well","2019-06-04","Lora Kasselman","Shaimaa Elsafoury","increased","1357,117563,1486725,109326,1485,33042,1730,216851,946234,119852,100175,1017280,44748,1506577,1505663,61170,32207,447020,102106","Experiment 1","Study 123","Signature 1"
"Table 1","Mean relative abundances for gut genera and p-value for differences between high-fat and control animals are listed. Class and phylum are indicated as well","2019-07-23","Lora Kasselman","Shaimaa Elsafoury","decreased","544,397864,816,588605","Experiment 1","Study 123","Signature 2"
"Table 3 and Text","The combination of sport and sport-specific diet is associated with characteristics of gut microbiota: an observational study","2019-06-04","Lora Kasselman","Shaimaa Elsafoury","increased","418240,550","Experiment 1","Study 124","Signature 1"
"Table 3 and Text","The combination of sport and sport-specific diet is associated with characteristics of gut microbiota: an observational study","2019-06-04","Lora Kasselman","Shaimaa Elsafoury","decreased","1680,40519,47678,562,1678,561,1357","Experiment 1","Study 124","Signature 2"
"Table 3 and Text","The combination of sport and sport-specific diet is associated with characteristics of gut microbiota: an observational study","2019-06-04","Lora Kasselman","Shaimaa Elsafoury","increased","40544,216851,1485,724,1432051","Experiment 2","Study 124","Signature 1"
"Table 3 and Text","The combination of sport and sport-specific diet is associated with characteristics of gut microbiota: an observational study","2019-06-04","Lora Kasselman","Shaimaa Elsafoury","decreased","418240,39488,46506,40519,1679,562,1678,1599,577310,1243","Experiment 2","Study 124","Signature 2"
"Table 3 and Text","The combination of sport and sport-specific diet is associated with characteristics of gut microbiota: an observational study","2019-06-04","Lora Kasselman","Shaimaa Elsafoury","increased","40544","Experiment 3","Study 124","Signature 1"
"Table 3 and Text","The combination of sport and sport-specific diet is associated with characteristics of gut microbiota: an observational study","2019-06-04","Lora Kasselman","Shaimaa Elsafoury","decreased","550,1583,1522,47678,39488,418240,572511,547,46255,1243","Experiment 3","Study 124","Signature 2"
"Fig 1,3 and Text","Oral microbiota in japanese oral cancer patients vs. noncancer individuals: a case-control study","2019-06-13","Utsav Patel","Shaimaa Elsafoury","increased","1257,848,1283313,1016","Experiment 1","Study 125","Signature 1"
"Fig 1,3 and Text","Oral microbiota in japanese oral cancer patients vs. noncancer individuals: a case-control study","2019-06-13","Utsav Patel","Shaimaa Elsafoury","decreased","32207,724","Experiment 1","Study 125","Signature 2"
"Fig 1 & 2","Changes in oral microbiota in oral leukoplakia vs. healthy control: a case-control study","2019-06-20","Utsav Patel","Shaimaa Elsafoury","increased","724,1386","Experiment 1","Study 126","Signature 1"
"Fig 1 & 2","Changes in oral microbiota in oral leukoplakia vs. healthy control: a case-control study","2019-06-20","Utsav Patel","Shaimaa Elsafoury","decreased","1301,46123","Experiment 1","Study 126","Signature 2"
"Fig 1 & 2","Changes in oral microbiota in OSCC vs. healthy control: a case-control study","2019-06-20","Utsav Patel","Shaimaa Elsafoury","increased","724,1386","Experiment 2","Study 126","Signature 1"
"Fig 1 & 2","Changes in oral microbiota in OSCC vs. healthy control: a case-control study","2019-06-20","Utsav Patel","Shaimaa Elsafoury","decreased","1301,46123","Experiment 2","Study 126","Signature 2"
"Fig 1 & 2","Changes in oral microbiota in oral leukoplakia vs. OSCC: a case-control study","2019-06-20","Utsav Patel","Shaimaa Elsafoury","increased","724,1301","Experiment 3","Study 126","Signature 1"
"Fig 1 & 2","Changes in oral microbiota in oral leukoplakia vs. OSCC: a case-control study","2019-06-20","Utsav Patel","Shaimaa Elsafoury","decreased","1386","Experiment 3","Study 126","Signature 2"
"Figure 2, 3","Differential abundance of microbiota at phylum and genus level in patients with chornic alcohol consumption","2019-07-20","Fatima Zohra","","increased","1224,40544,1485,61170","Experiment 1","Study 127","Signature 1"
"Figure 2, 3","Differential abundance of microbiota at phylum and genus level in patients with chornic alcohol consumption","2019-07-20","Fatima Zohra","","decreased","216851","Experiment 1","Study 127","Signature 2"
"Figure 4","Taxa with statistical different relative levels between alcohol overconsumers and controls","2019-07-20","Fatima Zohra","","increased","186803,1224,543,91347,561,570,1485,40544,506,213115,904,581,118747,32207,2383,61170,158846,1268,1737406,2037","Experiment 2","Study 127","Signature 1"
"Figure 4","Taxa with statistical different relative levels between alcohol overconsumers and controls","2019-07-20","Fatima Zohra","","decreased","283168,52225,265975,674963,447020,90964,1279,84107,838,102106,84999,84998,201174,171552,216851,186801","Experiment 2","Study 127","Signature 2"
"Supplementary Figure 1","The abundance of gastric cancer -enriched and -depleted operational taxonomic units across stages of gastric cancer","2019-07-25","Rimsha Azhar","","increased","1257,848,543311,1578,1301,1283313,838,39948,84108,186806,2740,43996,437755,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XIII._Incertae_Sedis;g__Mogibacterium","Experiment 1","Study 128","Signature 1"
"Supplementary Figure 1","The abundance of gastric cancer -enriched and -depleted operational taxonomic units across stages of gastric cancer","2019-07-25","Rimsha Azhar","","decreased","469,57739,378210,213465,235572","Experiment 1","Study 128","Signature 2"
"Supplementary Figure 1","The abundance of gastric cancer -enriched and -depleted operational taxonomic units across stages of gastric cancer","2019-07-25","Rimsha Azhar","","increased","1301,1257,1378,848,543311,1578,1730,1283313,838,39948,84108,186806,2740,43996,437755","Experiment 2","Study 128","Signature 1"
"Supplementary Figure 1","The abundance of gastric cancer -enriched and -depleted operational taxonomic units across stages of gastric cancer","2019-07-25","Rimsha Azhar","","decreased","57739,235572","Experiment 2","Study 128","Signature 2"
"Supplementary Figure 1","The abundance of gastric cancer -enriched and -depleted operational taxonomic units across stages of gastric cancer","2019-07-25","Rimsha Azhar","","increased","1301,1578,1257,1378,848,543311,1283313,1730,838,39948,84108,186806,2740,43996,437755,k__Bacteria;p__Firmicutes;c__Clostridia;o__ Clostridiales;f__ Mogibacteriaceae","Experiment 3","Study 128","Signature 1"
"Supplementary Figure 1","The abundance of gastric cancer -enriched and -depleted operational taxonomic units across stages of gastric cancer","2019-07-25","Rimsha Azhar","","decreased","80864,47420,469,57739,378210,213465,235572","Experiment 3","Study 128","Signature 2"
"Figure 3, Table 2","microbial signatures of the gut microbiota of MS patients","2019-07-24","Fatima Zohra","","increased","84566,186803,76892,49546,351,237,84567,572511,189330,13159,286","Experiment 1","Study 129","Signature 1"
"Figure 3, Table 2","microbial signatures of the gut microbiota of MS patients","2019-07-24","Fatima Zohra","","decreased","201174,1224,84107,171551,128827,33958,31977,543,712,102106,375288,100883,1578,724","Experiment 1","Study 129","Signature 2"
"Table 5","Bacterial groups quantified in human fecal samples in subjects with low, intermediate, and high adherence to Southern European Atlantic Diet (SEAD)","2019-07-23","Lora Kasselman","Shaimaa Elsafoury","increased","1678","Experiment 1","Study 130","Signature 1"
"Table 5","Bacterial groups quantified in human fecal samples in subjects with low, intermediate, and high adherence to Southern European Atlantic Diet (SEAD)","2019-07-23","Lora Kasselman","Shaimaa Elsafoury","increased","1678","Experiment 2","Study 130","Signature 1"
"Table 4","Gut microbiota composition in subjects of different age","2019-07-23","Lora Kasselman","Shaimaa Elsafoury","increased","1224","Experiment 3","Study 130","Signature 1"
"Table 4","Gut microbiota composition in subjects of different age","2020-04-30","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","1224","Experiment 4","Study 130","Signature 1"
"Table 4","Gut microbiota composition in subjects of different age","2020-04-30","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","1578","Experiment 5","Study 130","Signature 1"
"Table 3","Bacterial groups quantified in human fecal samples in subjects with different body mass index (BMI)","2020-04-30","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","201174,976","Experiment 6","Study 130","Signature 1"
"Table 3","Bacterial groups quantified in human fecal samples in subjects with different body mass index (BMI)","2020-04-30","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","1678","Experiment 6","Study 130","Signature 2"
"Table 3","Bacterial groups quantified in human fecal samples in subjects with different body mass index (BMI)","2020-04-30","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","1678","Experiment 7","Study 130","Signature 1"
"Table 3","Bacterial groups quantified in human fecal samples in subjects with different body mass index (BMI)","2020-04-30","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","201174","Experiment 8","Study 130","Signature 1"
"Table 1, Table 2, Table S2","Relative Abundance of Significant Gut Microbiota OTUs at T7 in Cara Cara (Brazilian orange juice), Bahia (Brazilian orange juice) and CTRLs groups","2019-07-23","Lora Kasselman","Shaimaa Elsafoury","decreased","119852,171551","Experiment 1","Study 131","Signature 1"
"Table 1, Table 2, Table S3","Relative Abundance of Significant Gut Microbiota OTUs at T7 in Cara Cara (Brazilian orange juice), Bahia (Brazilian orange juice) and CTRLs groups","2019-07-23","Lora Kasselman","Shaimaa Elsafoury","increased","1737406,k__Bacteria;p__Firmicutes;c__Clostridia;o__ Clostridiales;f__ Mogibacteriaceae","Experiment 2","Study 131","Signature 1"
"Table 1, Table 2, Table S4","Relative Abundance of Significant Gut Microbiota OTUs at T7 in Cara Cara (Brazilian orange juice), Bahia (Brazilian orange juice) and CTRLs groups","2019-07-23","Lora Kasselman","Shaimaa Elsafoury","decreased","283168","Experiment 2","Study 131","Signature 2"
"Table 1, Table 2, Table S5","Relative Abundance of Significant Gut Microbiota OTUs at T7 in Cara Cara (Brazilian orange juice), Bahia (Brazilian orange juice) and CTRLs groups","2019-07-23","Lora Kasselman","Shaimaa Elsafoury","increased","k__Bacteria;p__Firmicutes;c__Clostridia;o__ Clostridiales;f__ Mogibacteriaceae,31977","Experiment 3","Study 131","Signature 1"
"Table 1, Table 2, Table S7","Relative Abundance of Significant Gut Microbiota OTUs at T7 in Cara Cara (Brazilian orange juice), Bahia (Brazilian orange juice) and CTRLs groups","2019-07-23","Lora Kasselman","Shaimaa Elsafoury","increased","375288,2005519,1263076,31979,189330,541000,244127,543,574697","Experiment 4","Study 131","Signature 1"
"Table 1, Table 2, Table S8","Relative Abundance of Significant Gut Microbiota OTUs at T7 in Cara Cara (Brazilian orange juice), Bahia (Brazilian orange juice) and CTRLs groups","2019-07-23","Lora Kasselman","Shaimaa Elsafoury","decreased","990719","Experiment 4","Study 131","Signature 2"
"Table 1, Table 2, Table S9","Relative Abundance of Significant Gut Microbiota OTUs at T7 in Cara Cara (Brazilian orange juice), Bahia (Brazilian orange juice) and CTRLs groups","2019-07-23","Lora Kasselman","Shaimaa Elsafoury","increased","447020,1350,31979,1485,541000,244127","Experiment 5","Study 131","Signature 1"
"Table 1, Table 2, Table S11","Relative Abundance of Significant Gut Microbiota OTUs at T7 in Cara Cara (Brazilian orange juice), Bahia (Brazilian orange juice) and CTRLs groups","2019-07-23","Lora Kasselman","Shaimaa Elsafoury","increased","1263076","Experiment 6","Study 131","Signature 1"
"Table 9 and text","Percent abundance across 5 days of fecal collection for identified abundant bacterial taxa (mushroom diet vs meat diet)","2019-07-24","Lora Kasselman","Shaimaa Elsafoury","increased","1239,189330","Experiment 1","Study 132","Signature 1"
"Table 9 and text","Percent abundance across 5 days of fecal collection for identified abundant bacterial taxa (mushroom diet vs meat diet)","2019-07-24","Lora Kasselman","Shaimaa Elsafoury","decreased","976,816,375288,33042,207244,40544","Experiment 1","Study 132","Signature 2"
"Table 2, Table 3, and text","TABLE 2. Comparisons of microbial results between equol producers and nonproducers","2019-07-24","Lora Kasselman","","increased","1224","Experiment 1","Study 133","Signature 1"
"Table 2, Table 3, and text","TABLE 2. Comparisons of microbial results between equol producers and nonproducers","2019-07-24","Lora Kasselman","","decreased","1239","Experiment 2","Study 133","Signature 1"
"Figure S3","Changes in bacterial groups following the diet intervention within A) Firmicutes, B) Bacteroidetes, C) Actinobacteria, and D) γ-proteobacteria and other bacterial groups for the two diet groups ADD (n = 26, white bars) and NND (n = 36, black bars). Columns show means of log2 transformed data and error bars represent standard errors of the means. Asterisks indicate a significant difference (q < 0.05) compared to baseline. BCoAT: Butyryl-CoA:acetate CoAtransferase, NND: New Nordic Diet, ADD: Average Danish","2019-08-10","Lora Kasselman","Shaimaa Elsafoury","increased","39488,201174,872","Experiment 1","Study 134","Signature 1"
"Figure S3","Changes in bacterial groups following the diet intervention within A) Firmicutes, B) Bacteroidetes, C) Actinobacteria, and D) γ-proteobacteria and other bacterial groups for the two diet groups ADD (n = 26, white bars) and NND (n = 36, black bars). Columns show means of log2 transformed data and error bars represent standard errors of the means. Asterisks indicate a significant difference (q < 0.05) compared to baseline. BCoAT: Butyryl-CoA:acetate CoAtransferase, NND: New Nordic Diet, ADD: Average Danish","2020-05-04","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","1485,39488,1579,201174,562,872","Experiment 2","Study 134","Signature 1"
"Figure S3","Changes in bacterial groups following the diet intervention within A) Firmicutes, B) Bacteroidetes, C) Actinobacteria, and D) γ-proteobacteria and other bacterial groups for the two diet groups ADD (n = 26, white bars) and NND (n = 36, black bars). Columns show means of log2 transformed data and error bars represent standard errors of the means. Asterisks indicate a significant difference (q < 0.05) compared to baseline. BCoAT: Butyryl-CoA:acetate CoAtransferase, NND: New Nordic Diet, ADD: Average Danish","2020-05-04","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","239759,2173","Experiment 2","Study 134","Signature 2"
"Figure 2C and text","The association of dietary components with each enterotype. The strength and direction of each association, as measured by the means of the standardized nutrient measurements, is shown by the color key at the lower right. Enterotype is shown at the right. Red indicates greater amounts, blue lesser amounts of each nutrient in each enterotype (complete lists of nutrients are in table S2). Columns were clustered by Euclidean distance.","2019-08-11","Lora Kasselman","","increased","816","Experiment 1","Study 135","Signature 1"
"Figure 2C and text","The association of dietary components with each enterotype. The strength and direction of each association, as measured by the means of the standardized nutrient measurements, is shown by the color key at the lower right. Enterotype is shown at the right. Red indicates greater amounts, blue lesser amounts of each nutrient in each enterotype (complete lists of nutrients are in table S2). Columns were clustered by Euclidean distance.","2019-08-11","Lora Kasselman","","decreased","171552","Experiment 1","Study 135","Signature 2"
"Figure 2C and text","The association of dietary components with each enterotype. The strength and direction of each association, as measured by the means of the standardized nutrient measurements, is shown by the color key at the lower right. Enterotype is shown at the right. Red indicates greater amounts, blue lesser amounts of each nutrient in each enterotype (complete lists of nutrients are in table S2). Columns were clustered by Euclidean distance.","2019-08-11","Lora Kasselman","","increased","976,201174","Experiment 2","Study 135","Signature 1"
"Figure 2C and text","The association of dietary components with each enterotype. The strength and direction of each association, as measured by the means of the standardized nutrient measurements, is shown by the color key at the lower right. Enterotype is shown at the right. Red indicates greater amounts, blue lesser amounts of each nutrient in each enterotype (complete lists of nutrients are in table S2). Columns were clustered by Euclidean distance.","2019-08-11","Lora Kasselman","","decreased","201174","Experiment 2","Study 135","Signature 2"
"Figure 1 and Figure 2","Figure 1. Associations of the microbial taxa with long-term dietary habits and other factors from the questionnaire (n = 207 subjects). Analysis was performed for the baseline samples at taxonomic levels from species to phyla. Rows are sorted in alphabetic order. Cell color denotes the value of the linear model coefficient from the MaAsLin analysis. All significant associations (FDR adjusted p < 0.1) are marked with one of the symbols (&, #, @): “&”. Figure 2. Major changes in the gut community structure of the volunteers after following the dietary
recommendations. Red branches of the cladogram denote the taxa that were increased in abundance,
while the blue ones—decreased. Significance criterion: p < 0.05 in metagenomeSeq model and log10 of
the effect size >2 in LEfSe method (n = 430 paired samples).","2019-08-11","Lora Kasselman","","increased","815,171551,171552,171550,216572,909930,31977,995019,194924,33958","Experiment 1","Study 136","Signature 1"
"Figure 1 and Figure 2","Figure 1. Associations of the microbial taxa with long-term dietary habits and other factors from the questionnaire (n = 207 subjects). Analysis was performed for the baseline samples at taxonomic levels from species to phyla. Rows are sorted in alphabetic order. Cell color denotes the value of the linear model coefficient from the MaAsLin analysis. All significant associations (FDR adjusted p < 0.1) are marked with one of the symbols (&, #, @): “&”. Figure 2. Major changes in the gut community structure of the volunteers after following the dietary
recommendations. Red branches of the cladogram denote the taxa that were increased in abundance,
while the blue ones—decreased. Significance criterion: p < 0.05 in metagenomeSeq model and log10 of
the effect size >2 in LEfSe method (n = 430 paired samples).","2019-08-11","Lora Kasselman","","decreased","1485,1730,186803,459786,2159,31953,84107,90964,81852,1300,424536,31979,128827,1239,41297,543,203557","Experiment 1","Study 136","Signature 2"
"Figure S8","Сhanges in relative abundance of microbial taxa after dietary intervention. The analysis was performed using metagenomeSeq. For each taxon, the columns “Beta” and “Eff. size” contain the values of linear model coefficient and effect size calculated using LEfSe.","2020-05-07","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","84112,404403,84111,1358,1679,1357,1301,203557,1350,1300,81852,203494,48461,88431,74201,28211,1730,91061,1680,74426,102106,1485,31979,186802,186801,1678,31953,572511","Experiment 2","Study 136","Signature 1"
"Figure S8","Сhanges in relative abundance of microbial taxa after dietary intervention. The analysis was performed using metagenomeSeq. For each taxon, the columns “Beta” and “Eff. size” contain the values of linear model coefficient and effect size calculated using LEfSe.","2020-05-07","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","216851,28221,31977,213115,39485,39948,626940,33958,28111,310297,1263,301301,872,626929,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_siraeum,46228,29465,572010,84108","Experiment 2","Study 136","Signature 2"
"Figure 4A, Text","Relative overall sample abundance in the 3 groups Binary logarithms of the relative abundance of a single genus in the normal, adenoma, and cancer groups. Each genus was present in more than 50% of the samples in the cancer group. Most of the significant differences were between the cancer group and the other 2 groups.","2019-08-16","Lora Kasselman","","increased","642,848","Experiment 1","Study 137","Signature 1"
"Figure 4A, Text","Relative overall sample abundance in the 3 groups Binary logarithms of the relative abundance of a single genus in the normal, adenoma, and cancer groups. Each genus was present in more than 50% of the samples in the cancer group. Most of the significant differences were between the cancer group and the other 2 groups.","2019-08-16","Lora Kasselman","","decreased","816,35832,544,413496,189330,1730,841","Experiment 1","Study 137","Signature 2"
"Figure 3, Supplementary Figure S3","The LDA score obtained by linear regression analysis (LDA), the larger the LDA score, the greater the influence of species abundance on the difference effect. LC, lung cancer","2019-08-27","Rimsha Azhar","","increased","81852,1350,1505663,69965,2037,1654,2049,1392389,160674,1380,1573535,90964","Experiment 1","Study 138","Signature 1"
"Figure 3, Supplementary Figure S3","The LDA score obtained by linear regression analysis (LDA), the larger the LDA score, the greater the influence of species abundance on the difference effect. LC, lung cancer","2019-08-27","Rimsha Azhar","","decreased","1760,1678,85004,31953,84107,84999,102106,31979,189330,447020,175304,226,1508657,72275,28050,135622,162289,1348911,46205,437755,40544,1257","Experiment 1","Study 138","Signature 2"
"Table 2","Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts","2019-09-04","Utsav Patel","Fatima Zohra","increased","201174","Experiment 1","Study 139","Signature 1"
"Table 2","Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts","2019-09-04","Utsav Patel","Fatima Zohra","decreased","1716,32257,425941,327575,69823,28216","Experiment 1","Study 139","Signature 2"
"Table 2, Supplementary Table 6, Text","Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts","2019-09-04","Utsav Patel","Fatima Zohra","decreased","1716,32257,482,46123,1016,502,1305,28216,206351","Experiment 2","Study 139","Signature 1"
"Table 2, Supplementary Table 6, Text","Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts","2019-09-04","Utsav Patel","Fatima Zohra","decreased","544580,419208,1716,28216,206351,32257","Experiment 3","Study 139","Signature 1"
"Table 2, Supplementary Table 6, Text","Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts","2019-09-04","Utsav Patel","Fatima Zohra","increased","1654","Experiment 4","Study 139","Signature 1"
"Table 2, Supplementary Table 6, Text","Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts","2019-09-04","Utsav Patel","Fatima Zohra","decreased","33033,490","Experiment 4","Study 139","Signature 2"
"Figure 2a, 2c, Table 2","Compositional differences in fecal microbiota between patients of MS compared to healthy controls using Illumina MiSeq","2020-02-26","Rimsha Azhar","","increased","2172,239934,84593,28890","Experiment 1","Study 140","Signature 1"
"Figure 2a, 2c, Table 2","Compositional differences in fecal microbiota between patients of MS compared to healthy controls using Illumina MiSeq","2020-02-26","Rimsha Azhar","","decreased","574697","Experiment 1","Study 140","Signature 2"
"Figure 2a, 2c, Table 2","Compositional differences in fecal microbiota between patients of MS compared to healthy controls using Roche 454","2020-02-26","Rimsha Azhar","","increased","84593,2172,239934,28890","Experiment 2","Study 140","Signature 1"
"Figure 2a, 2c, Table 2","Compositional differences in fecal microbiota between patients of MS compared to healthy controls using Roche 454","2020-02-26","Rimsha Azhar","","decreased","574697","Experiment 2","Study 140","Signature 2"
"Figure 2a, 2c, Table 2","Compositional differences in fecal microbiota between patients of MS compared to healthy controls using Illumina MiSeq","2020-02-26","Rimsha Azhar","","increased","2735,239934","Experiment 3","Study 140","Signature 1"
"Figure 2a, 2c, Table 2","Compositional differences in fecal microbiota between patients of MS compared to healthy controls using Illumina MiSeq","2020-02-26","Rimsha Azhar","","decreased","574697,838,40544","Experiment 3","Study 140","Signature 2"
"Figure 2a, 2c, Table 2","compositional differences in fecal microbiota between patients of MS compared to healthy controls using Roche 454","2020-02-26","Rimsha Azhar","","increased","2735,28890,2172,239934","Experiment 4","Study 140","Signature 1"
"Figure 2a, 2c, Table 2","compositional differences in fecal microbiota between patients of MS compared to healthy controls using Roche 454","2020-02-26","Rimsha Azhar","","decreased","574697,838,40544","Experiment 4","Study 140","Signature 2"
"Figure 2c, Table 2","Compositional differences in fecal microbiota between treated patients of MS compared to untreated patients using Illumina MiSeq","2020-02-26","Rimsha Azhar","","increased","838,40544","Experiment 5","Study 140","Signature 1"
"Figure 2c, Table 2","Compositional differences in fecal microbiota between treated patients of MS compared to untreated patients using Illumina MiSeq","2020-02-26","Rimsha Azhar","","decreased","1266","Experiment 5","Study 140","Signature 2"
"Figure 2c, Table 2","Compositional differences in fecal microbiota between treated patients of MS compared to untreated patients using Roche 454","2020-02-26","Rimsha Azhar","","increased","838","Experiment 6","Study 140","Signature 1"
"Figure 2c, Table 2","Compositional differences in fecal microbiota between treated patients of MS compared to untreated patients using Roche 454","2020-02-26","Rimsha Azhar","","decreased","1266","Experiment 6","Study 140","Signature 2"
"Figure 3","The effect size for each of the differentially abundant species was estimated using LDA","2019-09-08","Rimsha Azhar","","increased","165779,2049,309120,39948,162289,33036,1570339,543311,28125,386414,31977,909932,203491,32066,43996,186803,171552,171549,976,838,200643,1301,186802,186801,1300","Experiment 1","Study 141","Signature 1"
