"antibiotics exclusion","location","condition","Group 0 sample size","Group 1 sample size","Group 0 name","Group 1 name","Group 1 definition","host species","body_site","sequencing type","16S variable region (lower bound)","16S variable region (upper bound)","sequencing platform","statistical test","LDA Score >","significance threshold","MHT correction","matched on","confounders controlled for","Pielou","Shannon","Chao1","Simpson","Inverse Simpson","Richness","Study","Page Name"
"6 months","Netherlands","obesity","13","15","Nonobese microbiota cluster","obese","obesity: BMI 30.5-60.3 kg/m3","Homo sapiens","feces","16S","","","Human Intestinal Tract Chip","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","decreased","","Study 74","Experiment 2"
"6 months","Netherlands","obesity","13","15","low BMI","high BMI","obesity: BMI 30.5-60.3 kg/m4","Homo sapiens","feces","16S","","","Human Intestinal Tract Chip","spearman correlation","","0.05","No","","","","","","","","","Study 74","Experiment 3"
"6 months","Netherlands","obesity","13","15","low C-Reactive Protein","high C-Reactive Protein","obesity: BMI 30.5-60.3 kg/m5","Homo sapiens","feces","16S","","","Human Intestinal Tract Chip","spearman correlation","","0.05","No","","","","","","","","","Study 74","Experiment 4"
"3 months","United States of America","smoking behavior","33","29","right oropharynx of nonsmokers","right oropharynx of smokers","Smokers were defined as current smoking of .2 cigarettes daily for more than 6 months, and nonsmokers were defined as less than 100 cigarettes lifetime.","Homo sapiens","oral gland","16S","1","2","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 75","Experiment 1"
"3 months","United States of America","smoking behavior","33","29","left oropharynx of nonsmokers","left oropharynx of smokers","Smokers were defined as current smoking of .2 cigarettes daily for more than 6 months, and nonsmokers were defined as less than 100 cigarettes lifetime.","Homo sapiens","oral gland","16S","1","2","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 75","Experiment 2"
"3 months","United States of America","smoking behavior","33","29","right nasopharynx of nonsmokers","right nasopharynx of smokers","Smokers were defined as current smoking of .2 cigarettes daily for more than 6 months, and nonsmokers were defined as less than 100 cigarettes lifetime.","Homo sapiens","nasal cavity","16S","1","2","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 75","Experiment 3"
"3 months","United States of America","smoking behavior","33","29","left nasopharynx of nonsmokers","left nasopharynx of smokers","Smokers were defined as current smoking of .2 cigarettes daily for more than 6 months, and nonsmokers were defined as less than 100 cigarettes lifetime.","Homo sapiens","nasal cavity","16S","1","2","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 75","Experiment 4"
"3 months","China","type I diabetes mellitus","15","15","controls","type I diabetes mellitus children","type 1 diabetes mellitus","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","age, sex, race, delivery procedure, breastfeeding duration","","","unchanged","decreased","","","decreased","Study 76","Experiment 1"
"","United States of America","bipolar disorder","68","49","non users","atypical antipsychotic users","Medication group was defined by the use of an Atypical Antipsychotics at the time of fecal sample collection","Homo sapiens","feces","16S","4","","Illumina","Linear Regression","","0.05","No","","age, body mass index, sex","","","","","decreased","","Study 77","Experiment 1"
"","United States of America","stimulus or stress design","23","23","controls","limited nesting stress","","Rattus norvegicus","feces","16S","4","","Illumina","DESeq2","","0.05","Yes","","sex","","decreased","decreased","","","","Study 78","Experiment 1"
"3 months","Germany","obesity","3","3","Laparoscopic sleeve gastrectomy after 3 months and 6 Months combined","Laparoscopic sleeve gastrectomy baseline","","Homo sapiens","feces","WMS","","","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","","","","","Study 79","Experiment 1"
"3 months","Germany","obesity","3","3","very low calorie diet after 3 months and 6 months","Very low calorie diet baseline","","Homo sapiens","feces","WMS","","","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","","","","","Study 79","Experiment 2"
"3 months","Mexico","type I diabetes mellitus","8","8","controls","Type I diabetic children at onset","T1D diagnose as established according to the American Diabetes Association criteria1, a positive anti-GAD and/or anti-IA-2 auto- antibodies result, HbA1C levels , 8%","Homo sapiens","feces","16S","4","","Roche454","ANOVA","","0.05","No","","","","","unchanged","","","","Study 80","Experiment 1"
"","Denmark","obesity","13","12","baseline","3 Months after Roux-en-Y gastric bypass surgery","","Homo sapiens","feces","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","","","","increased","Study 81","Experiment 1"
"","Denmark","obesity","13","8","baseline","one year after Roux-en-Y gastric bypass surgery","","Homo sapiens","feces","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","","","","increased","Study 81","Experiment 2"
"3 weeks","Germany","obesity","6","","lean controls","before surgery","Roux-en-Y gastric-bypass operation were recruited according to the S3 guidelines of the German Society for Obesity","Homo sapiens","feces","WMS","","","Illumina","ANOVA","","0.05","Yes","","","","","","","","","Study 82","Experiment 1"
"3 weeks","Germany","obesity","6","6","after surgery","before surgery","Roux-en-Y gastric-bypass operation were recruited according to the S3 guidelines of the German Society for Obesity","Homo sapiens","feces","WMS","","","Illumina","ANOVA","","0.05","No","","","","","","","","","Study 83","Experiment 1"
"3 weeks","Germany","obesity","6","","lean controls","after surgery","Roux-en-Y gastric-bypass operation were recruited according to the S3 guidelines of the German Society for Obesity","Homo sapiens","feces","WMS","","","Illumina","ANOVA","","0.05","Yes","","","","","","","","","Study 84","Experiment 1"
"","Gabon","cesarean section","7","8","vaginal delivery","two-day aged babies c-section","","Homo sapiens","meconium","16S","3","","Roche454","Linear Regression","","0.05","Yes","","","","unchanged","","","","","Study 85","Experiment 1"
"","Congo","cesarean section","7","8","vaginal delivery","two-day aged babies c-section","","Homo sapiens","meconium","16S","3","","Roche454","Linear Regression","","0.05","Yes","","","","unchanged","","","","","Study 85","Experiment 2"
"","Gabon","cesarean section","7","8","vaginal delivery","seven-day aged babies c-section","","Homo sapiens","feces","16S","3","","Roche454","Linear Regression","","0.05","Yes","","","","unchanged","","","","","Study 85","Experiment 3"
"","Congo","cesarean section","7","8","vaginal delivery","seven-day aged babies c-section","","Homo sapiens","feces","16S","3","","Roche454","Linear Regression","","0.05","Yes","","","","unchanged","","","","","Study 85","Experiment 4"
"11 mothers (6 contols and 5 cases) used antibiotices 12 hours before and after delivery.","Luxembourg","cesarean section","6","3","vaginal delivery at day 3","c-section","meconium samples were collected at day 1 after delivery","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","unchanged","unchanged","increased","","","increased","Study 86","Experiment 1"
"11 mothers (6 contols and 5 cases) used antibiotices 12 hours before and after delivery.","Luxembourg","cesarean section","7","5","vaginal delivery at day 5","c-section","meconium samples were collected at day 1 after delivery","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.01","Yes","","","unchanged","unchanged","unchanged","","","unchanged","Study 86","Experiment 2"
"11 mothers (6 contols and 5 cases) used antibiotices 12 hours before and after delivery.","Luxembourg","cesarean section","7","6","vaginal delivery at day 28","c-section","meconium samples were collected at day 1 after delivery","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","unchanged","unchanged","decreased","","","unchanged","Study 86","Experiment 3"
"11 mothers (6 contols and 5 cases) used antibiotices 12 hours before and after delivery.","Luxembourg","cesarean section","6","4","vaginal delivery at day 150","c-section","meconium samples were collected at day 1 after delivery","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","unchanged","unchanged","unchanged","","","unchanged","Study 86","Experiment 4"
"11 mothers (6 contols and 5 cases) used antibiotices 12 hours before and after delivery.","Luxembourg","cesarean section","5","5","vaginal delivery at day 365","c-section","meconium samples were collected at day 1 after delivery","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","unchanged","unchanged","unchanged","","","unchanged","Study 86","Experiment 5"
"11 mothers (6 contols and 5 cases) used antibiotices 12 hours before and after delivery.","Luxembourg","premature birth","4","5","full-term delivery >39 weeks at day 3","late preterm 34-36 weeks","meconium samples were collected at day 1 after delivery","Homo sapiens","feces","16S","4","","Illumina","Kruskall-Wallis","","0.01","Yes","","","","","","","","","Study 86","Experiment 6"
"11 mothers (6 contols and 5 cases) used antibiotices 12 hours before and after delivery.","Luxembourg","cesarean section","8","7","vaginal delivery","overall time point infants samples of c-section","meconium samples were collected at day 1 after delivery","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 86","Experiment 7"
"3 months","Spain","type I diabetes mellitus","28","15","maturity-onset diabetes of the young 2 (MODY2) and healthy Controls","Type I Diabetics","type 1 diabetes was diagnosed according to the criteria of the American Diabetes Association and the positivity of at least two persistent, confirmed anti-islet autoantibodies (anti-insulin autoantibodies, GAD autoantibodies, or tyrosine phosphatase autoantibodies). MODY2 children were diagnosed by suggestive clinical history, negative anti-islet autoantibodies, and positive genetic testing. Healthy control subjects were children with negative anti-islet autoantibodies,","Homo sapiens","feces","16S","2","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","age, sex, race, body mass index, delivery procedure, duration of breastfeeding.","","","","","","","","Study 87","Experiment 1"
"3 months","Spain","type I diabetes mellitus","13","30","healthy Controls","Type I Diabetics and maturity-onset diabetes of the young 2 (MODY2)","type 1 diabetes was diagnosed according to the criteria of the American Diabetes Association and the positivity of at least two persistent, confirmed anti-islet autoantibodies (anti-insulin autoantibodies, GAD autoantibodies, or tyrosine phosphatase autoantibodies). MODY2 children were diagnosed by suggestive clinical history, negative anti-islet autoantibodies, and positive genetic testing. Healthy control subjects were children with negative anti-islet autoantibodies,","Homo sapiens","feces","16S","2","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","age, sex, race, body mass index, delivery procedure, duration of breastfeeding.","","","decreased","","","","","Study 87","Experiment 2"
"","United States of America","schizophrenia","25","25","non-psychiatric controls","schizophrenia","type 1 diabetes was diagnosed according to the criteria of the American Diabetes Association and the positivity of at least two persistent, confirmed anti-islet autoantibodies (anti-insulin autoantibodies, GAD autoantibodies, or tyrosine phosphatase autoantibodies). MODY2 children were diagnosed by suggestive clinical history, negative anti-islet autoantibodies, and positive genetic testing. Healthy control subjects were children with negative anti-islet autoantibodies,","Homo sapiens","feces","16S","4","","Illumina","Kruskall-Wallis","","0.01","Yes","demographics","age, sex,race, body mass index, antimicrobial agent","","unchanged","","","","","Study 88","Experiment 1"
"oral antibiotics in the third trimester of pregnancy","Brazil","cesarean section","10","40","vaginal delivery in transitional stools","C-section delivery","cases are delivery or an elective C-section delivery between 38 and 42 weeks of gestation (confirmed by an ultrasound taken before the 20th week of pregnancy).","Homo sapiens","meconium","16S","4","","Illumina","LEfSe","3","","No","","","","","","","","unchanged","Study 89","Experiment 1"
"oral antibiotics in the third trimester of pregnancy","Brazil","cesarean section","10","10","mecomium in vaginal delivery","transitional stool","cases are delivery or an elective C-section delivery between 38 and 42 weeks of gestation (confirmed by an ultrasound taken before the 20th week of pregnancy).","Homo sapiens","meconium","16S","4","","Illumina","LEfSe","3","","No","","","","","","","","decreased","Study 90","Experiment 1"
"oral antibiotics in the third trimester of pregnancy","Brazil","cesarean section","40","40","mecomium in C-section delivery","transitional stool","cases are delivery or an elective C-section delivery between 38 and 42 weeks of gestation (confirmed by an ultrasound taken before the 20th week of pregnancy).","Homo sapiens","meconium","16S","4","","Illumina","LEfSe","3","","No","","","","","","","","decreased","Study 90","Experiment 2"
"None of VD mothers received antibiotics during delivery. CSD mothers recieved prophylactic antibiotics after delivery.","China","cesarean section","8","10","vaginal delivery","C-section delivery","the first-pass meconium stools from within 24 h of delivery","Homo sapiens","meconium","WMS","","","Illumina","LEfSe","3.5","0.05","No","","","","unchanged","","unchanged","","","Study 91","Experiment 1"
"6 months","United States of America","obesity","26","11","healthy controls","obese without non-alcoholic fatty liver disease","clinical diagnosis of NAFLD based on ultrasound findings and elevated transaminases.  BMI for obese children with and without clinical NAFLD were greater than the 95% for age","Homo sapiens","feces","16S","","","Ion Torrent","ANOVA","","0.05","Yes","","","","","","","","","Study 92","Experiment 1"
"6 months","United States of America","non-alcoholic fatty liver disease","26","13","healthy controls","non-alcoholic fatty liver disease patients","clinical diagnosis of NAFLD based on ultrasound findings and elevated transaminases.  BMI for obese children with and without clinical NAFLD were greater than the 95% for age","Homo sapiens","feces","16S","","","Ion Torrent","ANOVA","","0.05","Yes","","","","","","","","","Study 92","Experiment 2"
"6 months","United States of America","non-alcoholic fatty liver disease","11","13","obese without non-alcoholic fatty liver disease","non-alcoholic fatty liver disease patients","clinical diagnosis of NAFLD based on ultrasound findings and elevated transaminases.  BMI for obese children with and without clinical NAFLD were greater than the 95% for age","Homo sapiens","feces","16S","","","Ion Torrent","ANOVA","","0.05","Yes","","","","","","","","","Study 92","Experiment 3"
"newborns administerated antibiotics during delivery: Cefuroxime (n= 31), penicillin (n= 28), piperacillin-tazobactam (n=2)","Finland","cesarean section","172","40","vaginal delivery","C-section delivery","","Homo sapiens","meconium","16S","4","5","Ion Torrent","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","","","","","Study 93","Experiment 1"
"newborns administerated antibiotics during delivery: Cefuroxime (n= 31), penicillin (n= 28), piperacillin-tazobactam (n=2)","Finland","cesarean section","151","61","no","Antimicrobials use during delivery yes","","Homo sapiens","meconium","16S","4","5","Ion Torrent","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","","","","","Study 93","Experiment 2"
"newborns administerated antibiotics during delivery: Cefuroxime (n= 31), penicillin (n= 28), piperacillin-tazobactam (n=2)","Finland","cesarean section","151","61","no","Maternal consumption of probiotics yes","","Homo sapiens","meconium","16S","4","5","Ion Torrent","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","","","","","Study 93","Experiment 3"
"newborns administerated antibiotics during delivery: Cefuroxime (n= 31), penicillin (n= 28), piperacillin-tazobactam (n=2)","Finland","cesarean section","108","104","no","Furry pets at home yes","","Homo sapiens","meconium","16S","4","5","Ion Torrent","Mann-Whitney (Wilcoxon)","","0.05","No","","delivery procedure, antimicrobial agent during labor, probiotics during pregnancy","","increased","","","","","Study 93","Experiment 4"
"3 months","Germany","obesity","16","16","baseline participants","3 months","A threshold of 10% weight loss and maintenance of it over one year has been proposed as definition for successful weight loss maintenance","Homo sapiens","feces","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","","","","","Study 94","Experiment 1"
"3 months","Germany","obesity","16","16","3 months participants","6 months","A threshold of 10% weight loss and maintenance of it over one year has been proposed as definition for successful weight loss maintenance","Homo sapiens","feces","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","","","","","Study 94","Experiment 2"
"3 months","Germany","obesity","16","16","6 months participants","24 months","A threshold of 10% weight loss and maintenance of it over one year has been proposed as definition for successful weight loss maintenance","Homo sapiens","feces","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","","","","","Study 94","Experiment 3"
"7 days","United States of America","obesity","356","146","control babies at the age of 3","overweight/obese babies","","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","education level","","unchanged","","","","","Study 95","Experiment 1"
"","Japan","obesity","10","10","controls","obese","","Homo sapiens","feces","16S","3","4","Illumina","t-test","","0.05","No","","","","decreased","","","","","Study 96","Experiment 1"
"3 months","China","obesity","20","19","healthy controls","obese patients prior to Sleeve gastrectomy SG0","obese patients had a body mass index (BMI) of >28 kg/m2.","Homo sapiens","feces","16S","4","","Ion Torrent","Kruskall-Wallis","4","0.05","No","age, sex","","","unchanged","unchanged","","","unchanged","Study 97","Experiment 1"
"3 months","China","obesity","20","7","healthy controls","Roux-en-Y gastric bypass (RYGB)","obese patients had a body mass index (BMI) of >28 kg/m2.","Homo sapiens","feces","16S","4","","Ion Torrent","Kruskall-Wallis","4","0.05","No","age, sex","","","unchanged","unchanged","","","unchanged","Study 97","Experiment 2"
"3 months","China","obesity","19","8","obese patients prior to Sleeve gastrectomy SG0","obese patients three months after Sleeve gastrectomy SG3","obese patients had a body mass index (BMI) of >28 kg/m2.","Homo sapiens","feces","16S","4","","Ion Torrent","Kruskall-Wallis","4","0.05","No","age, sex","","","increased","increased","","","increased","Study 97","Experiment 3"
"3 months","China","obesity","7","3","patients prior to Roux-en-Y gastric bypass RYGB0","obese patients 3 moths after Roux-en-Y gastric bypass RYGB3","obese patients had a body mass index (BMI) of >28 kg/m2.","Homo sapiens","feces","16S","4","","Ion Torrent","Kruskall-Wallis","4","0.05","No","age, sex","","","unchanged","unchanged","","","unchanged","Study 97","Experiment 4"
"current use","United States of America","chronic kidney disease","20","20","controls","CKD","","Homo sapiens","blood","16S","3","4","Illumina","LEfSe","","0.05","Yes","age","age, body mass index, leukocyte, hypertension, hyperlipidemia, immunosuppressant use measurement","","","decreased","","","","Study 98","Experiment 1"
"1 month","China","obesity","79","72","controls","obese","","Homo sapiens","feces","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","age, sex","","","decreased","","","","","Study 99","Experiment 1"
"3 months","Russian Federation","obesity","69","23","low BMI","High BMI","","Homo sapiens","feces","16S","3","4","Illumina","Linear Regression","","0.05","Yes","","sex, age","","","","","","","Study 100","Experiment 1"
"3 months","Russian Federation","obesity","39","53","non-abdominal obesity","Abdominal obesity","","Homo sapiens","feces","16S","3","4","Illumina","Linear Regression","","0.05","Yes","","sex, age","","","","","","","Study 100","Experiment 2"
"less than one month before stool collection","France","obesity","47","68","lean controls","obese","Obese patients, as defined by a BMI>=30 kg/m2","Homo sapiens","feces","16S","","","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","No","","age","","","","","","","Study 101","Experiment 1"
"14 days","Germany","type II diabetes mellitus","35","42","normoglycemic controls","Women with gestational DM","Gestational Diabetes Mellitus  was diagnosed by a standardized oral glucose tolerance test (OGTT) after the 23rd week of the preceding pregnecy","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","","unchanged","unchanged","unchanged","","","Study 102","Experiment 1"
"yes","China","unipolar depression","24","24","Healthy Controls","depressed female","","Homo sapiens","feces","16S","3","5","Roche454","LEfSe","","0.05","No","demographics","","","","","","","","Study 103","Experiment 1"
"yes","China","unipolar depression","20","20","Healthy Controls","depressed male","","Homo sapiens","feces","16S","3","5","Roche454","LEfSe","","0.05","No","demographics","","","","","","","","Study 103","Experiment 2"
"1 month","China","unipolar depression","10","10","healthy controls","major depressive disoreder (visit 1)","The patients were assessed with the major depressive disorder criteria in the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV- TR) and 17-items HAM-D scales ≥23.Three visits occurred on day 1, day 15 and day 29.","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.01","No","","","","","","","","","Study 104","Experiment 1"
"1 month","China","unipolar depression","10","10","healthy controls","major depressive disoreder (visit 2)","The patients were assessed with the major depressive disorder criteria in the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV- TR) and 17-items HAM-D scales ≥23.Three visits occurred on day 1, day 15 and day 29.","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.01","No","","","","","","","","","Study 104","Experiment 2"
"1 month","China","unipolar depression","10","10","healthy controls","major depressive disoreder (visit 3)","The patients were assessed with the major depressive disorder criteria in the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV- TR) and 17-items HAM-D scales ≥23.Three visits occurred on day 1, day 15 and day 29.","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.01","No","","","","","","","","","Study 104","Experiment 3"
"","United States of America","unipolar depression","64","115","healthy controls","bipolar","","Homo sapiens","feces","16S","4","","Illumina","Logistic Regression","","0.05","Yes","","age, sex and body mass index","","","","","","","Study 105","Experiment 1"
"","Denmark","bipolar disorder","116","113","healthy controls","bipolar","","Homo sapiens","feces","16S","3","4","Illumina","Fisher's Exact Test","","0.05","Yes","","sex, age, smoking behavior, waist circumference, physical activity","","unchanged","","","","","Study 106","Experiment 1"
"2 month","United States of America","anorexia nervosa","12","16","healthy controls","anorexia","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.1","Yes","age, sex","","","","decreased","","","","Study 107","Experiment 1"
"2 month","United States of America","anorexia nervosa","12","10","healthy controls","anorexia","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.1","Yes","age, sex","","","","decreased","","","","Study 107","Experiment 2"
"3 months","Japan","anorexia nervosa","21","25","healthy controls","anorexia nervosa patients","","Homo sapiens","feces","16S","","","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.002","Yes","","age","","","","","","","Study 108","Experiment 1"
"8 weeks","Germany","anorexia nervosa","55","55","HC","anorexia patients before weight gain","","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.15","Yes","","age and sex","","unchanged","unchanged","","","","Study 109","Experiment 1"
"8 weeks","Germany","anorexia nervosa","55","44","HC","anorexia patients after weight gain","","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.15","Yes","","age and sex","","increased","unchanged","","","","Study 109","Experiment 2"
"1 month","China","schizophrenia","41","41","healthy controls","schizophrenia","","Homo sapiens","feces","16S","","","RT-qPCR","t-test","","0.05","No","","","","","","","","","Study 110","Experiment 1"
"2 months","China","attention deficit hyperactivity disorder","32","51","healthy control","ADHD","","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","2","0.05","Yes","","","","unchanged","unchanged","unchanged","","","Study 111","Experiment 1"
"","Germany","attention deficit hyperactivity disorder","17","14","controls","ADHD males","","Homo sapiens","feces","16S","1","2","Illumina","LEfSe","","0.05","No","","","","decreased","unchanged","","","","Study 112","Experiment 1"
"","Japan","unipolar depression","57","43","controls","MDD","","Homo sapiens","feces","16S","","","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","","","","","Study 113","Experiment 1"
"6 months","China","unipolar depression","27","27","controls","MDD","","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","","0.05","No","","","","decreased","decreased","","","","Study 114","Experiment 1"
"1 month","China","unipolar depression","30","31","controls","MDD","","Homo sapiens","feces","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","decreased","","unchanged","","Study 115","Experiment 1"
"1 month","China","bipolar disorder","30","30","healthy controls","bipolar","","Homo sapiens","feces","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","unchanged","","unchanged","","Study 115","Experiment 2"
"3 months","Spain","type I diabetes mellitus","16","16","healthy controls","children with type 1 diabetes","Type 1 diabetes was diagnosed following the criteria of the American Diabetes Association and the appearance of at least two persistent, confirmed anti-islet autoantibodies (insulin autoantibodies, glutamic acid decarboxylase autoantibodies or tyrosine phosphatase autoantibodies)","Homo sapiens","feces","16S","2","3","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","No","age, sex, race, delivery procedure, breastfeeding duration","","","","","","","","Study 116","Experiment 1"
"3 months","Netherlands","pneumonia","91","100","elderly controls","elderly pneumonia patients","","Homo sapiens","oral gland","16S","5","7","Roche454","t-test","","0.05","Yes","","age, comorbidity, smoking behavior","","increased","","","","decreased","Study 117","Experiment 1"
"3 months","Netherlands","pneumonia","187","27","adult controls","adult pneumonia patients","","Homo sapiens","oral gland","16S","5","7","Roche454","t-test","","0.05","Yes","","age, comorbidity, smoking behavior","","","","","","","Study 117","Experiment 2"
"","China","cesarean section","60","34","vaginal born children","cesarean born","cesarean delivery","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","3","0.05","No","","","","unchanged","","","","","Study 118","Experiment 1"
"","China","cesarean section","24","10","cesarean born and breastfed","cesarean born and mixed-fed","cesarean delivery and mixed-fed","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","3","0.05","No","","","","unchanged","","","","","Study 118","Experiment 2"
"","United States of America","type II diabetes mellitus","34","21","Metaformin negative among Opoid negative","Metaformin positive","Opioid use was defined as “Yes” if during review of medical record two parameters were present: 1) the participant was under care of psychiatric care professional, and 2) psychiatric care professional established the diagnosis of opioid use disorder as official diagnosis in medical record","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 119","Experiment 1"
"","United States of America","type II diabetes mellitus","35","9","Metaformin negative among Opoid positive","Metaformin positive","Opioid use was defined as “Yes” if during review of medical record two parameters were present: 1) the participant was under care of psychiatric care professional, and 2) psychiatric care professional established the diagnosis of opioid use disorder as official diagnosis in medical record","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 119","Experiment 2"
"","United States of America","type II diabetes mellitus","34","35","opoid negative among Metaformin negative","Opoid positive","Opioid use was defined as “Yes” if during review of medical record two parameters were present: 1) the participant was under care of psychiatric care professional, and 2) psychiatric care professional established the diagnosis of opioid use disorder as official diagnosis in medical record","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 119","Experiment 3"
"","Spain","physical activity","10","10","exercise group","Activity Based Anorexia group","(a) Activity based anorexia (ABA) group: rats starved by restricting food access to 23 hours per day and confined to running wheels except during a 60 min meal per day, (b) Control ABA group: rats submitted to the same food restriction schedule as ABA with no wheel access exercise, (c) Exercise group: rats feed ad libitum with free access to the activity wheel and (d) Ad libitum group: rats feed ad libitum but without access to the activity wheel.","Rattus norvegicus","feces","16S","2","3","RT-qPCR","Kruskall-Wallis","","0.05","Yes","body weight","","","","","","","","Study 120","Experiment 1"
"","Spain","physical activity","10","10","exercise group","Ad libitum group","(a) Activity based anorexia (ABA) group: rats starved by restricting food access to 23 hours per day and confined to running wheels except during a 60 min meal per day, (b) Control ABA group: rats submitted to the same food restriction schedule as ABA with no wheel access exercise, (c) Exercise group: rats feed ad libitum with free access to the activity wheel and (d) Ad libitum group: rats feed ad libitum but without access to the activity wheel.","Rattus norvegicus","feces","16S","2","3","RT-qPCR","Kruskall-Wallis","","0.05","Yes","body weight","","","","","","","","Study 120","Experiment 2"
"3 months","China","gingivitis","12","54","healthy controls","gingivitis","","Homo sapiens","oral gland","16S","3","4","Illumina","ANOSIM","","0.05","No","","","","increased","increased","","","increased","Study 121","Experiment 1"
"","United States of America","breast carcinoma","20","20","normal tissue","tumor tissue","","Homo sapiens","breast","16S","4","","Illumina","t-test","","0.05","No","","age","","","","","","unchanged","Study 122","Experiment 1"
"","United States of America","diet","6","6","low fat diet","high fat diet","High fat diet rats were fed (20% protein, 35% carbohydrate, 45% fat by calories).  Controls or low fat diet were fed (20% protein, 70% carbohydrate, 10% fat by calories) for eight weeks.","Rattus norvegicus","feces","16S","","","Roche454","ANOVA","","0.05","No","","","","unchanged","","","","","Study 123","Experiment 1"
"6 months","South Korea","diet","15","15","distance runners (high carb)","body builders (high protein)","","Homo sapiens","feces","16S","3","4","Illumina","Kruskall-Wallis","","0.05","Yes","","","","","","","","","Study 124","Experiment 1"
"6 months","South Korea","diet","15","15","control","body builders (high protein)","","Homo sapiens","feces","16S","3","4","Illumina","Kruskall-Wallis","","0.05","Yes","","","","","","","","","Study 124","Experiment 2"
"6 months","South Korea","diet","15","15","control","distance runners (high carb)","","Homo sapiens","feces","16S","3","4","Illumina","Kruskall-Wallis","","0.05","Yes","","","","","","","","","Study 124","Experiment 3"
